request_url,response_url,address_found
https://www.yellowpages.com/scottsdale-az/mip/securitynational-mortgage-520832592,https://www.yellowpages.com/scottsdale-az/mip/securitynational-mortgage-520832592,yes
https://www.yellowpages.com/clackamas-or/mip/securitynational-mortgage-company-558975505,https://www.yellowpages.com/clackamas-or/mip/securitynational-mortgage-company-558975505,yes
https://www.yellowpages.com/fort-myers-fl/mip/security-national-mortgage-co-465204171,https://www.yellowpages.com/fort-myers-fl/mip/security-national-mortgage-co-465204171,yes
https://www.yellowpages.com/phoenix-az/mip/securitynational-mortgage-company-546973719,https://www.yellowpages.com/nationwide/mip/bruce-allen-gruys-securitynational-mortgage-company-loan-officer-546973719,no
https://www.yellowpages.com/mesa-az/mip/securitynational-mortgage-company-558979337,https://www.yellowpages.com/nationwide/mip/aaron-chapman-securitynational-mortgage-company-loan-officer-558979337,no
https://www.yellowpages.com/scottsdale-az/mip/securitynational-mortgage-company-558975520,https://www.yellowpages.com/nationwide/mip/gianna-louise-quatrini-securitynational-mortgage-company-loan-officer-558975520,no
https://www.yellowpages.com/chandler-az/mip/securitynational-mortgage-company-560611402,https://www.yellowpages.com/nationwide/mip/steven-cory-krebs-securitynational-mortgage-company-loan-officer-560611402,no
https://www.yellowpages.com/phoenix-az/mip/securitynational-mortgage-company-558979280,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979280,no
https://www.yellowpages.com/west-covina-ca/mip/securitynational-mortgage-company-2766684,https://www.yellowpages.com/nationwide/mip/olivia-borges-securitynational-mortgage-company-loan-officer-2766684,no
https://www.yellowpages.com/lihue-hi/mip/securitynational-mortgage-company-558979272,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979272,no
https://www.yellowpages.com/lake-mary-fl/mip/securitynational-mortgage-company-553826487,https://www.yellowpages.com/nationwide/mip/junior-simmonds-securitynational-mortgage-company-loan-officer-553826487,no
https://www.yellowpages.com/las-vegas-nv/mip/securitynational-mortgage-company-558979259,https://www.yellowpages.com/nationwide/mip/raul-brito-salvador-securitynational-mortgage-company-loan-officer-558979259,no
https://www.yellowpages.com/lake-mary-fl/mip/securitynational-mortgage-company-558979265,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979265,no
https://www.yellowpages.com/oldsmar-fl/mip/securitynational-mortgage-company-558975540,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558975540,no
https://www.yellowpages.com/kapolei-hi/mip/securitynational-mortgage-company-558979294,https://www.yellowpages.com/nationwide/mip/felicity-kui-meyer-securitynational-mortgage-company-loan-officer-558979294,no
https://www.yellowpages.com/johnson-city-tn/mip/securitynational-mortgage-company-558979303,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979303,no
https://www.yellowpages.com/seminole-fl/mip/securitynational-mortgage-company-555228040,https://www.yellowpages.com/nationwide/mip/marlene-rusch-securitynational-mortgage-company-loan-officer-555228040,no
https://www.yellowpages.com/indianapolis-in/mip/securitynational-mortgage-company-558975528,https://www.yellowpages.com/nationwide/mip/lauren-leigh-cupp-securitynational-mortgage-company-loan-officer-558975528,no
https://www.yellowpages.com/branson-mo/mip/securitynational-mortgage-company-559813984,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-559813984,no
https://www.yellowpages.com/hurst-tx/mip/security-national-mortgage-company-495588410,https://www.yellowpages.com/hurst-tx/mip/security-national-mortgage-company-495588410,yes
https://www.yellowpages.com/mccall-id/mip/securitynational-mortgage-company-558975568,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558975568,no
https://www.yellowpages.com/austin-tx/mip/securitynational-mortgage-company-561661292,https://www.yellowpages.com/nationwide/mip/jason-m-buckley-securitynational-mortgage-company-loan-officer-561661292,no
https://www.yellowpages.com/portland-or/mip/securitynational-mortgage-company-558975535,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558975535,no
https://www.yellowpages.com/henderson-nv/mip/guillermo-alejandro-retis-securitynational-mortgage-company-loan-officer-558979235,https://www.yellowpages.com/nationwide/mip/gina-hagler-securitynational-mortgage-company-loan-officer-558979235,no
https://www.yellowpages.com/dallas-tx/mip/securitynational-mortgage-company-503683487,https://www.yellowpages.com/nationwide/mip/logan-hunter-young-securitynational-mortgage-company-loan-officer-503683487,no
https://www.yellowpages.com/franklin-tn/mip/securitynational-mortgage-company-561238356,https://www.yellowpages.com/nationwide/mip/andrew-heisley-of-securitynational-mortgage-561238356,no
https://www.yellowpages.com/portland-or/mip/securitynational-mortgage-company-558979313,https://www.yellowpages.com/nationwide/mip/vicki-elizabeth-williams-securitynational-mortgage-company-loan-officer-558979313,no
https://www.yellowpages.com/fort-worth-tx/mip/securitynational-mortgage-company-474549471,https://www.yellowpages.com/nationwide/mip/ashley-michelle-kennedy-securitynational-mortgage-company-loan-officer-474549471,no
https://www.yellowpages.com/columbus-oh/mip/securitynational-mortgage-company-558979307,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979307,no
https://www.yellowpages.com/memphis-tn/mip/securitynational-mortgage-company-525206259,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-525206259,no
https://www.yellowpages.com/tillamook-or/mip/charles-miska-securitynational-mortgage-company-loan-officer-558979346,https://www.yellowpages.com/nationwide/mip/charles-miska-securitynational-mortgage-company-loan-officer-558979346,no
https://www.yellowpages.com/brownsville-tx/mip/securitynational-mortgage-company-467955825,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-467955825,no
https://www.yellowpages.com/midvale-ut/mip/security-national-mortgage-miriam-aiazzi-4989835,https://www.yellowpages.com/midvale-ut/mip/security-national-mortgage-miriam-aiazzi-4989835,yes
https://www.yellowpages.com/el-paso-tx/mip/securitynational-mortgage-company-515469420,https://www.yellowpages.com/nationwide/mip/marco-a-viramontes-securitynational-mortgage-company-loan-officer-515469420,no
https://www.yellowpages.com/sandy-ut/mip/security-national-mortgage-company-462151102,https://www.yellowpages.com/sandy-ut/mip/security-national-mortgage-company-462151102,yes
https://www.yellowpages.com/south-jordan-ut/mip/securitynational-mortgage-company-558979293,https://www.yellowpages.com/nationwide/mip/securitynational-mortgage-company-558979293,no
